cluster,PRM_min,PRM_mean,PRM_max
INTRODUCTION,0.8055747603244838,0.9589193034827939,0.9946303466076696
RELATED WORK,0.7877134342783505,0.9466261522349436,0.9904357280927835
BACKGROUND/PRELIMINARIES,0.7716796875,0.9550669929931931,0.9951171875
METHODS,0.6887441781850961,0.9351216431730806,0.9906663161057693
EXPERIMENTAL SETUP,0.697998046875,0.9067207301022001,0.986083984375
EXPERIMENTS/RESULTS,0.6543759031791907,0.9226657838129662,0.9875445944725434
DISCUSSION,0.7660283627717391,0.9364558960818179,0.9875594429347826
CONCLUSION,0.8612731073943662,0.9495113797824372,0.9867407570422535
ABSTRACT,0.9816887535816619,0.9958072846625942,0.9999888073065902
ACKNOWLEDGMENTS,0.8135831986350575,0.8855198098201845,0.9317977729885057
APPENDIX,0.5660492271505376,0.8603910475209448,0.9616935483870968
MIXED/COMBINED,0.6922001008064517,0.926183532755809,0.9895665322580646
OTHER,0.6554699409298781,0.9062313206240763,0.9768415178571429
