doc_index,doc_id,section_title,section_title_raw,section_char_len,PRM_min,PRM_max,PRM_mean,_title_norm,cluster
0,304,ABSTRACT,ABSTRACT,979,0.99609375,1.0,0.9988839285714286,ABSTRACT,ABSTRACT
0,304,INTRODUCTION,1 INTRODUCTION,3505,0.84765625,0.9921875,0.960802801724138,INTRODUCTION,INTRODUCTION
0,304,THE PROBLEM AND OUR APPROACH,2 THE PROBLEM AND OUR APPROACH,7823,0.87890625,0.99609375,0.97421875,THE PROBLEM AND OUR APPROACH,MIXED/COMBINED
0,304,APPLICATION TO LEARNING RECURSIVE NEURAL PROGRAMS WITH NPI,3 APPLICATION TO LEARNING RECURSIVE NEURAL PROGRAMS WITH NPI,24319,0.375,0.99609375,0.8578171502976191,APPLICATION TO LEARNING RECURSIVE NEURAL PROGRAMS WITH NPI,OTHER
0,304,EXPERIMENTS,4 EXPERIMENTS,6212,0.52734375,1.0,0.9321501358695652,EXPERIMENTS,EXPERIMENTS/RESULTS
0,304,CONCLUSION,5 CONCLUSION,719,0.921875,0.984375,0.9596354166666666,CONCLUSION,CONCLUSION
0,304,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,375,0.69140625,0.9921875,0.8525390625,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS
0,304,APPENDIX,A APPENDIX,15294,0.53125,0.99609375,0.9006273674242424,APPENDIX,APPENDIX
1,305,ABSTRACT,ABSTRACT,1373,0.99609375,1.0,0.99853515625,ABSTRACT,ABSTRACT
1,305,INTRODUCTION,1 INTRODUCTION,4076,0.62890625,0.99609375,0.9422940340909092,INTRODUCTION,INTRODUCTION
1,305,"CHOICE OF FORWARD, INVERSE, AND PERCEPTUAL TRANSFORMS","2 CHOICE OF FORWARD, INVERSE, AND PERCEPTUAL TRANSFORMS",4465,0.86328125,0.99609375,0.955078125,"CHOICE OF FORWARD, INVERSE, AND PERCEPTUAL TRANSFORMS",MIXED/COMBINED
1,305,OPTIMIZATION OF NONLINEAR TRANSFORM CODING MODEL,3 OPTIMIZATION OF NONLINEAR TRANSFORM CODING MODEL,8136,0.37109375,0.9921875,0.9044270833333332,OPTIMIZATION OF NONLINEAR TRANSFORM CODING MODEL,METHODS
1,305,EXPERIMENTAL RESULTS,4 EXPERIMENTAL RESULTS,5854,0.7265625,0.99609375,0.9226792279411764,EXPERIMENTAL RESULTS,EXPERIMENTS/RESULTS
1,305,DISCUSSION,5 DISCUSSION,5825,0.79296875,0.98828125,0.941136853448276,DISCUSSION,DISCUSSION
1,305,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,70,0.921875,0.921875,0.921875,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS
1,305,APPENDIX,6 APPENDIX,11090,0.4609375,0.984375,0.932791095890411,APPENDIX,APPENDIX
2,306,ABSTRACT,ABSTRACT,954,0.9921875,1.0,0.99765625,ABSTRACT,ABSTRACT
2,306,INTRODUCTION,1 INTRODUCTION,4286,0.85546875,0.99609375,0.970703125,INTRODUCTION,INTRODUCTION
2,306,TASK DESCRIPTION,2 TASK DESCRIPTION,1696,0.97265625,0.99609375,0.98828125,TASK DESCRIPTION,BACKGROUND/PRELIMINARIES
2,306,MODEL,3 MODEL,10164,0.64453125,0.99609375,0.9560697115384617,MODEL,METHODS
2,306,RELATED WORK,4 RELATED WORK,3106,0.90625,0.99609375,0.9514266304347826,RELATED WORK,RELATED WORK
2,306,EVALUATION,5 EVALUATION,7644,0.83984375,0.99609375,0.9614497950819672,EVALUATION,EXPERIMENTS/RESULTS
2,306,CONCLUSION,6 CONCLUSION,993,0.91015625,0.99609375,0.97216796875,CONCLUSION,CONCLUSION
2,306,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,91,0.93359375,0.93359375,0.93359375,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS
3,307,ABSTRACT,ABSTRACT,1120,0.98828125,1.0,0.99755859375,ABSTRACT,ABSTRACT
3,307,INTRODUCTION,1 INTRODUCTION,5393,0.82421875,0.99609375,0.9512442129629628,INTRODUCTION,INTRODUCTION
3,307,RELATED WORK,2 RELATED WORK,2237,0.78515625,0.9921875,0.9386488970588236,RELATED WORK,RELATED WORK
3,307,GOAL-ORIENTED DIALOG TASKS,3 GOAL-ORIENTED DIALOG TASKS,9881,0.67578125,0.9921875,0.9491722470238096,GOAL-ORIENTED DIALOG TASKS,OTHER
3,307,MODELS,4 MODELS,7316,0.7734375,0.9921875,0.9571035879629628,MODELS,METHODS
3,307,EXPERIMENTS,5 EXPERIMENTS,5894,0.60546875,0.984375,0.8922061011904762,EXPERIMENTS,EXPERIMENTS/RESULTS
3,307,CONCLUSION,6 CONCLUSION,771,0.87109375,0.98046875,0.9322916666666666,CONCLUSION,CONCLUSION
