doc_index,doc_id,section_title,section_title_raw,section_char_len,PRM_min,PRM_max,PRM_mean
0,304,ABSTRACT,ABSTRACT,979,0.99609375,1.0,0.9988839285714286
0,304,INTRODUCTION,1 INTRODUCTION,3505,0.84765625,0.9921875,0.9608028017241379
0,304,THE PROBLEM AND OUR APPROACH,2 THE PROBLEM AND OUR APPROACH,7823,0.87890625,0.99609375,0.97421875
0,304,APPLICATION TO LEARNING RECURSIVE NEURAL PROGRAMS WITH NPI,3 APPLICATION TO LEARNING RECURSIVE NEURAL PROGRAMS WITH NPI,24319,0.375,0.99609375,0.8578171502976191
0,304,EXPERIMENTS,4 EXPERIMENTS,6212,0.52734375,1.0,0.9321501358695652
0,304,CONCLUSION,5 CONCLUSION,719,0.921875,0.984375,0.9596354166666666
0,304,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,375,0.69140625,0.9921875,0.8525390625
0,304,APPENDIX,A APPENDIX,15294,0.53125,0.99609375,0.9006273674242424
1,305,ABSTRACT,ABSTRACT,1373,0.99609375,1.0,0.99853515625
1,305,INTRODUCTION,1 INTRODUCTION,4076,0.62890625,0.99609375,0.9422940340909091
1,305,"CHOICE OF FORWARD, INVERSE, AND PERCEPTUAL TRANSFORMS","2 CHOICE OF FORWARD, INVERSE, AND PERCEPTUAL TRANSFORMS",4465,0.86328125,0.99609375,0.955078125
1,305,OPTIMIZATION OF NONLINEAR TRANSFORM CODING MODEL,3 OPTIMIZATION OF NONLINEAR TRANSFORM CODING MODEL,8136,0.37109375,0.9921875,0.9044270833333333
1,305,EXPERIMENTAL RESULTS,4 EXPERIMENTAL RESULTS,5854,0.7265625,0.99609375,0.9226792279411765
1,305,DISCUSSION,5 DISCUSSION,5825,0.79296875,0.98828125,0.9411368534482759
1,305,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,70,0.921875,0.921875,0.921875
1,305,APPENDIX,6 APPENDIX,11090,0.4609375,0.984375,0.932791095890411
2,306,ABSTRACT,ABSTRACT,954,0.9921875,1.0,0.99765625
2,306,INTRODUCTION,1 INTRODUCTION,4286,0.85546875,0.99609375,0.970703125
2,306,TASK DESCRIPTION,2 TASK DESCRIPTION,1696,0.97265625,0.99609375,0.98828125
2,306,MODEL,3 MODEL,10164,0.64453125,0.99609375,0.9560697115384615
2,306,RELATED WORK,4 RELATED WORK,3106,0.90625,0.99609375,0.9514266304347826
2,306,EVALUATION,5 EVALUATION,7644,0.83984375,0.99609375,0.9614497950819673
2,306,CONCLUSION,6 CONCLUSION,993,0.91015625,0.99609375,0.97216796875
2,306,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,91,0.93359375,0.93359375,0.93359375
3,307,ABSTRACT,ABSTRACT,1120,0.98828125,1.0,0.99755859375
3,307,INTRODUCTION,1 INTRODUCTION,5393,0.82421875,0.99609375,0.9512442129629629
3,307,RELATED WORK,2 RELATED WORK,2237,0.78515625,0.9921875,0.9386488970588235
3,307,GOAL-ORIENTED DIALOG TASKS,3 GOAL-ORIENTED DIALOG TASKS,9881,0.67578125,0.9921875,0.9491722470238095
3,307,MODELS,4 MODELS,7316,0.7734375,0.9921875,0.9571035879629629
3,307,EXPERIMENTS,5 EXPERIMENTS,5894,0.60546875,0.984375,0.8922061011904762
3,307,CONCLUSION,6 CONCLUSION,771,0.87109375,0.98046875,0.9322916666666666
3,307,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,120,0.96875,0.96875,0.96875
3,307,MEMORY NETWORKS IMPLEMENTATION,A MEMORY NETWORKS IMPLEMENTATION,2894,0.55859375,0.98828125,0.8822021484375
3,307,EXAMPLES OF PREDICTIONS OF A MEMORY NETWORK,B EXAMPLES OF PREDICTIONS OF A MEMORY NETWORK,501,0.5546875,0.9765625,0.8564453125
3,307,HYPERPARAMETERS,C HYPERPARAMETERS,217,0.84375,0.98828125,0.916015625
3,307,ADDITIONAL RESULTS,D ADDITIONAL RESULTS,1206,0.50390625,0.890625,0.7259114583333334
4,308,ABSTRACT,ABSTRACT,768,0.99609375,1.0,0.9993489583333334
4,308,INTRODUCTION,1 INTRODUCTION,5859,0.84765625,0.99609375,0.9713224085365854
4,308,SOURCES OF INSTABILITY,2 SOURCES OF INSTABILITY,18015,0.4375,1.0,0.9473561672185431
4,308,TOWARDS SOFTER METRICS AND DISTRIBUTIONS,3 TOWARDS SOFTER METRICS AND DISTRIBUTIONS,11066,0.890625,0.99609375,0.9728009259259259
4,308,ACKNOWLEDGMENTS,ACKNOWLEDGMENTS,336,0.86328125,0.953125,0.908203125
4,308,PROOFS OF THINGS,A PROOFS OF THINGS,7199,0.416015625,0.99609375,0.9593341884328358
4,308,FURTHER CLARIFICATIONS,B FURTHER CLARIFICATIONS,3575,0.90625,0.99609375,0.97703125
5,309,ABSTRACT,ABSTRACT,9299,0.6796875,1.0,0.9690290178571429
5,309,RELATED WORK,1 RELATED WORK,2485,0.5859375,0.9765625,0.8914473684210527
5,309,BACKGROUND,2 BACKGROUND,2281,0.81640625,0.98828125,0.9300426136363636
5,309,AUXILIARY TASKS FOR REINFORCEMENT LEARNING,3 AUXILIARY TASKS FOR REINFORCEMENT LEARNING,10272,0.5625,0.99609375,0.955078125
5,309,EXPERIMENTS,4 EXPERIMENTS,8890,0.59375,0.98828125,0.9339334239130435
5,309,CONCLUSION,5 CONCLUSION,537,0.734375,0.9453125,0.8645833333333334
